id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1272563869458878464,1272563869458878464,1592237844000,2020-06-15,19:17:24,GTB Daylight Time,278430640,classicmusicco,Classic Music Co,,"Excited to be a part of this! A new era of virtual clubbing as @DefectedRecords teams up with @Twitch meaning you can choose between “rooms” of live DJs. Kicking off this Friday with @themartinezbros and friends. Full line-up drop tomorrow 🏠 🎶
 https://www.twitch.tv/defectedrecordsmusic … pic.twitter.com/E8yLji5euj","['defectedrecords', 'twitch', 'themartinezbros']",['https://www.twitch.tv/defectedrecordsmusic'],['https://pbs.twimg.com/media/EakOFzTWoAACqYV.jpg'],0,0,0,[],[],https://twitter.com/classicmusicco/status/1272563869458878464,False,,0,,,,,,,"[{'user_id': '278430640', 'username': 'classicmusicco'}, {'user_id': '19730048', 'username': 'DefectedRecords'}, {'user_id': '309366491', 'username': 'Twitch'}, {'user_id': '29959062', 'username': 'themartinezbros'}]",,,,
1272563868238327814,1272563868238327814,1592237843000,2020-06-15,19:17:23,GTB Daylight Time,910599381589516288,uncannywarriorr,Carter Hall,,"Music on the stereo player,
Dance all night and don't say a thing,
Just hush, hush (hush, hush).
Hush, hush (hush, hush).
Try this sound like a roller-coaster,
Let the music take us over.
Just hush, hush (hush, hush).
Hush, hush.",[],[],[],0,0,0,[],[],https://twitter.com/UncannyWarriorr/status/1272563868238327814,False,,0,,,,,,,"[{'user_id': '910599381589516288', 'username': 'UncannyWarriorr'}]",,,,
1272563867995045897,1272545467180736512,1592237843000,2020-06-15,19:17:23,GTB Daylight Time,885630682051039233,almarussmusic,Alma Russ Music,,🔥 fire,['rscountry'],[],[],0,0,0,[],[],https://twitter.com/AlmaRussMusic/status/1272563867995045897,False,,0,,,,,,,"[{'user_id': '885630682051039233', 'username': 'AlmaRussMusic'}, {'user_id': '2394806707', 'username': 'RScountry'}]",,,,
1272563866120196099,1270027914424266752,1592237843000,2020-06-15,19:17:23,GTB Daylight Time,411276249,dreamxmusic,Dream X,,Be clear he didn’t send you anything you paid for a cameo. Just stupid,"['samloverstay', 'todrick', 'taylorswift13', 'taylornation13']",[],[],0,0,0,[],[],https://twitter.com/DreamXMusic/status/1272563866120196099,False,,0,,,,,,,"[{'user_id': '411276249', 'username': 'DreamXMusic'}, {'user_id': '1269650246646280194', 'username': 'samloverstay'}, {'user_id': '26180278', 'username': 'todrick'}, {'user_id': '17919972', 'username': 'taylorswift13'}, {'user_id': '80144576', 'username': 'taylornation13'}]",,,,
1272563866061492225,1272563866061492225,1592237843000,2020-06-15,19:17:23,GTB Daylight Time,67893728,ogbrxght,big steppa,,we don’t care. drop some damn music  https://twitter.com/isaiahrashad/status/1272561397222658052 …,[],['https://twitter.com/isaiahrashad/status/1272561397222658052'],[],0,0,0,[],[],https://twitter.com/ogbrxght/status/1272563866061492225,False,https://twitter.com/isaiahrashad/status/1272561397222658052,0,,,,,,,"[{'user_id': '67893728', 'username': 'ogbrxght'}]",,,,
1272563865495076864,1272561521067884546,1592237843000,2020-06-15,19:17:23,GTB Daylight Time,1039046329278709762,harjley,Sarah Targaryen 💫,,"If someday there is no one else by your side, will you look at me? 

Baby, I'm right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn 

You were here, winter is gone (artinya kek di musim dingin telah pergi yang mana kamu ada disitu)",['music_fess'],[],[],0,0,0,[],[],https://twitter.com/harjley/status/1272563865495076864,False,,0,,,,,,,"[{'user_id': '1039046329278709762', 'username': 'harjley'}, {'user_id': '238045582', 'username': 'MUSIC_FESS'}]",,,,
1272563865377792000,1272563865377792000,1592237843000,2020-06-15,19:17:23,GTB Daylight Time,54946441,winstarva,The Winchester Star,,"At Paladin Bar & Grill in Stephens City, a wall was knocked near the front entrance and created a 1,000-square-foot indoor seating area that will eventually host live music.  https://www.winchesterstar.com/coronavirus/local-restaurant-owner-remodels-expands-amid-quarantine/article_92957848-576f-50e9-aa35-b5a64f8b8a46.html#tncms-source=article-nav-next …",[],['https://www.winchesterstar.com/coronavirus/local-restaurant-owner-remodels-expands-amid-quarantine/article_92957848-576f-50e9-aa35-b5a64f8b8a46.html#tncms-source=article-nav-next'],[],0,0,0,[],[],https://twitter.com/WinStarVa/status/1272563865377792000,False,,0,,,,,,,"[{'user_id': '54946441', 'username': 'WinStarVa'}]",,,,
1272563865348382726,1272563865348382726,1592237843000,2020-06-15,19:17:23,GTB Daylight Time,809533424054587392,premisebot,colorless green idea,,My hose's laughable hammer is trying to grow next to the actor!,[],[],[],0,0,0,[],[],https://twitter.com/premisebot/status/1272563865348382726,False,,0,,,,,,,"[{'user_id': '809533424054587392', 'username': 'premisebot'}]",,,,
1272563865268686850,1272563865268686850,1592237843000,2020-06-15,19:17:23,GTB Daylight Time,977084840,kenzie_is_smol,🌙 BIG ᵐᵃᶜ bIm,,06-15-20: Allen Stone is a soul artist with R&B influences. His music is seriously awesome and I went and listen to all of his discography and may not have added all of it to my summer playlist so when that gets upload look forward to that 😂  pic.twitter.com/q7qSuLx4UO,[],[],['https://pbs.twimg.com/media/EakOFD4XkAAf3NT.jpg'],0,0,0,[],[],https://twitter.com/kenzie_is_smol/status/1272563865268686850,False,,0,,,,,,,"[{'user_id': '977084840', 'username': 'kenzie_is_smol'}]",,,,
1272563864417325056,1272563864417325056,1592237843000,2020-06-15,19:17:23,GTB Daylight Time,1233810151326371842,kpnlradio,KPNL,,Jacob Lee - Zen (Official Music Video),[],[],[],0,0,0,[],[],https://twitter.com/KpnlRadio/status/1272563864417325056,False,,0,,,,,,,"[{'user_id': '1233810151326371842', 'username': 'KpnlRadio'}]",,,,
